Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
6c0c3176		Kinetic Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/non-scene-scripts/kinetic_text_tags.rpy	1	"[what]"
8689f4cd		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b	game/non-scene-scripts/kinetic_text_tags.rpy	1	"[what]"
1d2fe016		Wave Shader Ren'Py Module 2022 Daniel Westfall <SoDaRa2595@gmail.com>	game/non-scene-scripts/wave_shader.rpy	1	"[what]"
8a2a5455		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some cool visuals! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/RenpyWaveShader itch.io: https://wattson.itch.io/renpy-wave-shader Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=64378	game/non-scene-scripts/wave_shader.rpy	1	"[what]"
06b949eb		Notes on how to use	game/non-scene-scripts/wave_shader.rpy	33	"[what]"
ebb4aef1		Important Part	game/non-scene-scripts/wave_shader.rpy	39	"[what]"
start_48558798		May 28th 201X\n11:18 P.M.\nBirdley's Bar	game/script.rpy	114	"[what]"
start_6d537b65		A small dingey bar, kept afloat by its regulars, who have been coming here since before I was even born.	game/script.rpy	119	"[what]"
start_5a794c7b		Said regulars are all within their cliques, or are glued to the telly, watching... something.	game/script.rpy	121	"[what]"
start_a7a7f14e		I sit and stir my Black Russian. Not in idle bordem, but rather in tense, sharp, anxiety.	game/script.rpy	123	"[what]"
start_b1c82ac9		My mind is racing, soaring through the air, beyond the wit of man.	game/script.rpy	125	"[what]"
start_950c5ab1		My mind comes careening back down to reality, when the glass of solitude is shattered by a familiar voice.	game/script.rpy	127	"[what]"
start_c11f0801	z	Hey.	game/script.rpy	129	z "[what]"
start_4ab0ecbb	z	Mind if I have a seat?	game/script.rpy	134	z "[what]"
start_43b4c18e	r	Oh, hey Zeke. Go ahead.	game/script.rpy	136	r "[what]"
start_c3c36bdd		He takes a seat, while gesturing at the waiter	game/script.rpy	142	"[what]"
start_4b526ea7	z	Two glasses of Dom P	game/script.rpy	146	z "[what]"
start_c1c73476	r	Are you mad? How much even is that a glass?	game/script.rpy	148	r "[what]"
start_6f266f75	r	Does this place even carry Dom P?	game/script.rpy	150	r "[what]"
start_3241d572	z	It doesnt really matter, after all...	game/script.rpy	152	z "[what]"
start_8a307ba3	z	Doesn't someone here have a job now?	game/script.rpy	156	z "[what]"
start_2026fdac	z	And didn't two people here just graduate from college?	game/script.rpy	158	z "[what]"
start_7249783d	z	So we should celebrate. Full stop.	game/script.rpy	162	z "[what]"
start_dc9c448f	r	Please dont remind me.	game/script.rpy	164	r "[what]"
start_caf09dba	z	Remind you of what?	game/script.rpy	166	z "[what]"
start_3b00d0f9		I bury my face into the table	game/script.rpy	170	"[what]"
start_f99c3fd9	r	Please dont remind me about my job.	game/script.rpy	172	r "[what]"
start_dceba2a5	z	What?	game/script.rpy	174	z "[what]"
start_913eb944		I hear two glasses and a bottle hit the table	game/script.rpy	176	"[what]"
start_a826d9ec	z	How can you not like having a job? That makes literally no sense.	game/script.rpy	178	z "[what]"
start_145bc808	r	I'm just... not a fan of change.	game/script.rpy	180	r "[what]"
start_a2fa7d0d	r	I got used to college, and even moreso to school.	game/script.rpy	182	r "[what]"
start_16892cde	r	This is just... different. And I really dont like that.	game/script.rpy	184	r "[what]"
start_76864c6b	z	To each their own, I guess.	game/script.rpy	188	z "[what]"
start_24025dd2	r	Exactly. Now can we stop talking about it and just drink?	game/script.rpy	190	r "[what]"
start_bb94893e	z	Fair enough. Cheers.	game/script.rpy	192	z "[what]"
start_c5ff2a30	r	Cheers.	game/script.rpy	194	r "[what]"
